label,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72
HELLO,1.4211099424244056,0.5217341831773847,0.303540528220106,0.15905830797661547,-0.3605546307659294,-0.39388367126259416,-0.5625686509955992,0.4541479038377208,0.08689644204155639,0.17524191310114146,-0.3850381981281415,0.3980532170055401,0.399226274338856,-0.2639359785754062,-0.40120142291413796,-0.32265978974882104,-0.11792067433999928,0.08840406874391318,0.05157975887279366,-0.1817163596424925,0.3816365950125133,-0.43413740375334825,-0.23974642266599794,-0.138507283704288,-0.1574300524702763,0.36857529078016726,-0.22804361859157285,0.015754464898583585,0.04966125256816205,-0.5731538969451492,0.04440418560560476,-0.2699789736110103,-0.4519213207516506,0.41473603373015544,0.5057478995965438,0.40105228035102336,-0.17481688122212696,-0.3771668543245624,0.29398199719613904,-0.04580324274401208,-0.4027048488707874,0.04902695033318819,-0.48614189350018594,0.37989434414816114,-0.1393213287888186,0.13916607068793235,-0.4007030077156667,0.04770945668891212,0.01506896321685619,-0.3382764929920683,0.5058195338872393,0.26184795069302935,0.4566940479717695,0.23304215577199003,0.022455434133704155,0.5341909341158603,-0.41299156230901174,-0.43789750734007266,-0.5405752578443146,-0.2540765635889909,-0.10313489570654465,-0.26325971066994514,0.2760029249570111,-0.1429316889518985,-0.18084516235793707,0.021973791579137224,-0.40505251163430933,0.26847712312684896,-0.3982636791852977,0.48629652460495143,0.33362851639316976,-0.3932677246653763,-0.5565047713529532
HELLO,1.4363913873185024,0.3865680789419407,0.34271519932601935,0.21107490866729162,-0.23259529927821126,-0.4144567451461789,-0.4357647919450348,0.32670154719866906,0.17496802041056503,0.3446009740903224,-0.4095283524533672,0.4706413998212053,0.3031994970538183,-0.23573395071139536,-0.41600491572692394,-0.27368860755600094,-0.2689330315413645,0.07440028890917666,-0.08092997150692931,-0.23983201172008722,0.04101190481607157,-0.3890457414094137,-0.16336560758206461,-0.05012930783281566,-0.0018141628761884146,0.394286883346382,-0.09719320054009367,-0.011724838212699856,0.07594523149440208,-0.568752903094706,0.20280303239052958,-0.22552413117154946,-0.5043200994986847,0.49829680489422484,0.5629976968329682,0.3265004096763711,-0.1275941162204982,-0.3883412450342984,0.08688463512341776,0.024100285125270557,-0.2719533122340851,0.05393699530167384,-0.5419712598416953,0.3492260481056678,-0.3316542626496255,0.22412047314844544,-0.0868177621182769,0.05402692070232687,0.12195312614024043,-0.38455683167282295,0.48125357595882334,0.16554313882381083,0.3777564816047284,0.4651212342829205,0.07873241815558038,0.5186247926780475,-0.36847069765272084,-0.08526336485591549,-0.4472714766773062,-0.28718209061125954,-0.11408508279810267,-0.3056922183113942,0.4069119092169752,-0.1398882681488089,-0.23004723568044452,0.0327654920477157,-0.2998485095894183,0.26600000216646613,-0.36328537272794054,0.5705326300682226,0.24487343228822692,-0.3753680480027458,-0.5355151082872474
HELLO,1.4313488580764788,0.45811261613400395,0.2823999368994857,0.23969348198129486,-0.32550506172195287,-0.40872043097502625,-0.35732250712281044,0.37028501453330603,0.17091078435604506,0.2933684613238645,-0.5561361534183399,0.5804702204957498,0.40485239759694647,-0.33597323912048616,-0.2938191032032312,-0.29601889086815764,-0.1938432118831953,0.09450955073722926,0.04693352490879793,-0.20818634998270752,0.2183234009601463,-0.28144993050762923,-0.18927165881066946,-0.11954368294212259,-0.13613524551576528,0.16511448993643968,-0.2871243939928932,-0.054239875012737845,0.08924367749887294,-0.49632260662800737,-0.035534868497001354,-0.3008915129577778,-0.4681109514459118,0.4553014342565984,0.3941824111842215,0.28161196832488244,-0.07055581953599899,-0.39204380598792965,0.22819913411717027,-0.1615172508104819,-0.18683888856382416,0.14265001077691283,-0.35653663960864523,0.47562168028717206,-0.24000855613919395,0.1978882057033205,-0.10444734439099287,-0.030217558620245707,0.011150379805745035,-0.4486761332017155,0.40783910154401815,0.4080369618097669,0.4127591742721597,0.36939959790680216,0.12332134140605464,0.29289605044915495,-0.33587696274107515,-0.2027045891510248,-0.4245890098526292,-0.04256159031837645,-0.21746925160138975,-0.0811537044059564,0.27027819689355703,-0.24564025196746114,-0.23805684720915277,0.19245653759603282,-0.3606311462972012,0.22758964822915317,-0.529044754278618,0.4784774562208042,0.11264784357204549,-0.4052997457933028,-0.37103247072767087
HELLO,1.4804012234194615,0.4404413346867395,0.19474076011104138,0.10333919638158413,-0.15614160528153767,-0.31160743896215537,-0.3691373338350152,0.3499795437084111,0.10598674031258164,0.259845593539009,-0.46932791947827524,0.3181196935629017,0.43488590173461883,-0.3368715835434303,-0.14926962146359923,-0.2616476091252885,-0.1900799637892826,0.059902602840512575,-0.07673481244296529,-0.24768548108614694,0.12846075562523707,-0.28970690197302496,-0.24501773135637928,-0.18341712989881062,-0.07236910705627285,0.3613368489007492,-0.18412219804465058,0.04319555136900925,0.13891969958490039,-0.5039256558612113,0.17768522389762442,-0.2853369154755025,-0.4917586436489192,0.3058718082987907,0.367986424732011,0.2548611298619641,-0.10243124540688733,-0.2780991039264701,0.14907159647421472,-0.09248073448210237,-0.35703192067742384,-0.003851369162871789,-0.3911367521668553,0.3674653545918133,-0.16528857937750321,0.14338430052440157,-0.11997094702516056,-0.001615215805272588,-0.002337295289390584,-0.1621601332872753,0.554802794368312,0.13176921535029737,0.4037570606209965,0.49122118416993477,0.002167141274003373,0.4835285013849657,-0.35814300967049717,-0.3599488638282082,-0.45547807478912655,-0.341871089127158,0.0303118110148195,-0.25337836896185784,0.39304255326203,-0.09413936598837677,-0.11043502726462018,0.008031810606043646,-0.34276995682304,0.34692571696320185,-0.35564602900579084,0.5792352836732312,0.23405423085063176,-0.3544225139301814,-0.3856689735765439
HELLO,1.2115740440495915,0.57631688885333,0.20780800244530045,0.0982934578778129,-0.3985687676471758,-0.3478611185066624,-0.34022532975332737,0.42784519389205833,0.1405299304472412,0.21518241828658496,-0.5950643035019642,0.4023788990805751,0.3049865418699283,-0.25104677296741673,-0.31260281963138903,-0.23791514563788896,-0.1578675660222571,0.02910447786732353,0.11400592244749205,-0.17627272499796381,0.07729751859370969,-0.21170877882900377,-0.11182242759170997,0.01164886651319691,-0.05280457063332489,0.36328069151150183,-0.41655417456742916,0.07695495128674508,0.0797966522017142,-0.5619542237214369,0.1901528842228765,-0.47428638231238973,-0.587964928379858,0.4778836539577574,0.5113398339007024,0.386039253717518,-0.1360291895042721,-0.2841951959592458,0.24025246278115042,-0.0704314617757957,-0.3838506544185737,-0.02740078500770669,-0.4419732769309269,0.3215327325934494,-0.2139462425152668,0.15560920380745288,-0.16623811127959642,0.042365863975463706,-0.149470888761979,-0.3872490499676464,0.4608943346374501,0.27069402669730064,0.46025008628416464,0.41901521365418026,0.21919864464579686,0.44687091351095265,-0.43654939460539577,-0.4319470153838534,-0.5642599203328105,-0.13183032443871928,-0.02648696518168056,-0.10534128847264948,0.2625060628386723,-0.1675558281408849,-0.19967879542597022,0.20648799684866753,-0.3498868575681257,0.42629800913267735,-0.4118515240876445,0.5791465515147938,0.35437115702082367,-0.2879972678651755,-0.57610854265737
HELLO,1.3530125638130464,0.5698379203206745,0.30221995528981416,0.06396645805528883,-0.37136605064751543,-0.4824753279650428,-0.32636928447325564,0.4370612305946274,0.09014878605986057,0.2240833313299193,-0.6530847719546303,0.4309726924785744,0.4391982920695526,-0.20913709918331735,-0.2917189882277848,-0.3177729508373611,-0.13204532266475616,0.0022456231081509244,-0.20123043705348487,-0.2092667909758679,0.14410244088922564,-0.2706919245641165,-0.32315101230446175,-0.14347106123042472,-0.04995430816337394,0.19707580900524463,-0.2613123558477768,0.07402388094255573,0.06915918421955901,-0.28914217859028446,0.08199605129874571,-0.3652105539679618,-0.47300211485220867,0.38364561139025416,0.4209099936158508,0.1936702385778592,-0.21070885673969275,-0.3977299657516724,0.0016088273088930571,-0.0680034672587872,-0.37459103861586684,0.036344029366513333,-0.36924067307871555,0.47742874324682283,-0.2908491162028272,0.10360931057337026,-0.14192857178660073,-0.02371436572919089,-0.051534042186610285,-0.12521420500242525,0.44472668659518305,0.22501088874603103,0.2641285370648308,0.4629395178179551,0.018865111147361835,0.4241638797885429,-0.3340176454437268,-0.3817986213987805,-0.44841411494405886,-0.05276667642123098,-0.30786247485959634,-0.2934914359844416,0.2563741584489636,-0.15819908311124342,-0.22288876050250228,-0.04220492747747877,-0.4114256427142786,0.24033898311781382,-0.4535124959340587,0.504344755203005,0.34508989908634385,-0.21685783874211442,-0.4421871419695717
HELLO,1.3046221892885548,0.4504506327837279,0.42194029409079614,0.17982109961202042,-0.3792217242674455,-0.21744242502669495,-0.47296192301559364,0.3127039883106737,0.21277356661749391,0.10330063459509362,-0.6325177121256661,0.5452126184068323,0.3346579153297188,-0.2774716510387514,-0.34708885994705757,-0.3356749595372909,-0.2324065492669724,-0.025323002788114182,-0.09860779914738517,-0.24184695890737407,0.04556619304088064,-0.40411967529450565,-0.40807611319775905,-0.07886678058189481,-0.012709754264312697,0.278383254793347,-0.2813402670608608,0.036120630664701864,0.034494425133698554,-0.49615601145763466,0.14981018067186846,-0.3128755974999776,-0.27148276784013603,0.5784545096883181,0.5402730043056273,0.2474585548582356,-0.24055079108819533,-0.48249162388391487,0.20661361449509363,-0.27912389381717484,-0.4146513073106611,-0.029360401834475195,-0.587554721538381,0.4731393072450728,-0.3323513566871737,0.18394169761024287,0.034413269968535054,-0.10881242761860688,0.03482616694271569,-0.3477423554852942,0.42142713345284777,0.3359529109319434,0.5280052699504645,0.4565584023717557,0.040032852214986425,0.6165820812953101,-0.5531269530154319,-0.3866274631035984,-0.44119436833823206,-0.16751815570508372,-0.07227918396021804,-0.10224024062008796,0.31914943560268144,-0.13414831648937228,-0.26662677453055916,0.08976236463509984,-0.3845540558772645,0.27667241906873224,-0.38197070408312694,0.5696806107669652,0.09559624516274726,-0.27242204449195334,-0.5160941483706006
HELLO,1.4503494738602751,0.43070449832395524,0.33607813646438905,0.04454544255831351,-0.5224077521676346,-0.259878036410064,-0.5093999848114382,0.23975599083545301,0.10239928523472328,0.18893828451363198,-0.41356710764459703,0.5413027177472112,0.34009227647157314,-0.35844616467516266,-0.29521973189495554,-0.30337993973692,-0.15024282308289094,-0.0452281054673383,-0.10008481121128848,-0.1680206104950696,0.2116390591409174,-0.28323237871119095,-0.20129096177255804,-0.17262975862000013,-0.011624371088619634,0.19786472640953595,-0.3656863329825118,0.13501614341038148,0.12457732726579623,-0.4813517259818387,0.17387594666825984,-0.22651787920474095,-0.4705194116743717,0.41469290185737523,0.4214203712067989,0.3855053736136901,-0.11750163502501938,-0.29145562029032823,0.26492126250006376,-0.1904249526146802,-0.35548461948176524,-0.08949392211649398,-0.5066446288824948,0.42296793836525115,-0.1743747865319908,0.09125481695789575,-0.37426649682678115,0.03451048852224532,0.2581960060151637,-0.33137324204808516,0.47333786256057925,0.4177059128440008,0.4867209110891322,0.4121762333862839,0.133269312036163,0.44189374962900874,-0.502687852200617,-0.4113327502048306,-0.303826462119523,-0.15995900108432307,-0.10331507490414213,-0.23586918135060086,0.39122337056124556,0.05984861483258819,-0.17714927694399574,-0.004350862946915758,-0.3697478436565609,0.38787669813046005,-0.472073404433269,0.5550666557229388,0.08658577937840697,-0.31967468418153855,-0.44422668179794406
HELLO,1.4761501625734197,0.38523636904652486,0.1117727404009568,0.07779967100569107,-0.4340148801773146,-0.35592841300215977,-0.4424486642022995,0.2606445421587796,0.165470140552078,0.1954954663268894,-0.39297871618376956,0.32231743293830684,0.2510672671567905,-0.24632734462987402,-0.3821038784589206,-0.3297583427905419,-0.1957018276358883,0.03741691010850724,-0.12226027837658081,-0.19682793472415988,0.04924939830362106,-0.30656370184821613,-0.21704287302342373,-0.1212352268186668,0.16166413139226266,0.19660760502501187,-0.18923963631841723,-0.19851367015033822,-0.07385556353147299,-0.5528007934950079,0.013342582679443452,-0.3131797324616005,-0.4117610258812431,0.42849983578354406,0.45364179573356245,0.350618528990994,-0.12872832061696998,-0.5084510072823969,0.15528174881351658,-0.06541469209343952,-0.33913648543038494,-0.06663646127060749,-0.4727491729322752,0.4117190928409547,-0.2975776266767455,0.1042570723581511,-0.1803892616996023,0.009640409498834157,0.08674848089693023,-0.3994062421260727,0.4415301055342556,0.2567955392368272,0.5046080542140775,0.3195942484622166,0.11667213922349204,0.44209467562614774,-0.2797957185336826,-0.3845842867253557,-0.5073513765388614,-0.24965812381460134,-0.24490504407599,-0.0874760134850866,0.22941741067599952,-0.20855110603079838,-0.11380416965004646,-0.09755248059680877,-0.29856764948224684,0.18915503312669746,-0.3257137773978622,0.31329672163724864,0.13196721599660438,-0.34487809726254026,-0.41673206766257875
HELLO,1.3720634587964367,0.4238571005789905,0.3396774784085825,0.2710776472716825,-0.2902007768044617,-0.3938338399119,-0.4753678305525423,0.2631003553943492,0.10918040552353298,0.07770513891793931,-0.4352664132794375,0.6303557758131906,0.3898499671838657,-0.3251927069373186,-0.2760200397823561,-0.186952814533296,-0.07011818621957117,-0.05554419969283182,-0.027231270191298375,-0.22141897900757398,0.1763803545554744,-0.3298170230426165,-0.39743306422353764,-0.1614792036100554,-0.028045346751260726,0.17042676402030593,-0.2538444570523614,-0.10768678092455082,0.02853944506867817,-0.3462446337039915,0.03684262879229688,-0.2835585195765744,-0.5752343044474154,0.6153907097945446,0.4412677419955788,0.31602301267227867,-0.1810632871027121,-0.3537225368471074,0.06269862787326273,-0.06027442392733176,-0.43066327121772974,-0.13998766797499143,-0.3866417028744848,0.3811465633908148,-0.22181838435098153,0.1769099178522267,-0.21507710570067812,0.17807020946827332,0.04292910713295891,-0.4397817298886064,0.4375541189498931,0.3151118329700834,0.4821065503138332,0.3078048756067079,0.17225857939866673,0.2808448807134336,-0.31997668173876703,-0.4095649687118472,-0.47287232861015605,-0.08950417499459967,-0.10175425679955244,-0.1633150868090185,0.3782304659287239,-0.04034518423404264,-0.1340887022395223,0.00639653847533312,-0.30844044432176015,0.18007283181821995,-0.430081748907252,0.5523657153716005,0.2829525816363374,-0.2655531399444607,-0.5115396729536609
